label,seed,risk_mean,risk_relief,probe_rate,response_prob,response_delay_s,post_trigger_probe,workload,episode_length,retrieval_rate,probe_time_share,veh_time_share,total_steps,n_veh_onsets,n_lm_onsets,reached_goal,wall_s
LANDMARK_DECAY_RATE|up,20260709,0.11488,0.07944,7.36282,0.25000,0.12653,0.00000,3.12823,10.40437,1.02389,0.03846,0.01667,4319,12,18,True,166.8
LANDMARK_DECAY_RATE|down,20260705,0.11494,0.10718,8.31740,0.15385,0.09490,0.11111,2.95019,10.66279,1.12705,0.04353,0.01864,4184,13,18,True,159.1
LANDMARK_DECAY_RATE|down,20260706,0.11701,0.11297,9.56624,0.38462,0.51000,0.05000,2.98698,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,159.8
LANDMARK_DECAY_RATE|down,20260707,0.11356,0.07916,7.56524,0.30000,0.65987,0.17391,2.95342,10.69006,1.64779,0.03846,0.01436,4177,10,23,True,157.5
LANDMARK_DECAY_RATE|down,20260708,0.11718,0.10417,7.85143,0.22222,0.00000,0.08696,2.96103,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,160.0
LANDMARK_DECAY_RATE|down,20260709,0.10873,0.08252,9.12154,0.50000,0.30606,0.00000,2.83651,10.27647,1.24434,0.04758,0.01444,4155,10,22,True,158.4
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|up,20260705,0.11986,0.10708,7.58950,0.23077,0.06327,0.22222,3.06620,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,160.7
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|up,20260706,0.12172,0.08415,9.09517,0.50000,0.35000,0.00000,3.11274,11.22674,1.17302,0.04745,0.01594,4266,12,21,True,162.5
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|up,20260707,0.11465,0.07604,7.88108,0.40000,1.15230,0.13636,3.00587,10.64368,1.57068,0.04041,0.01416,4238,10,22,True,160.5
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|up,20260708,0.11805,0.10458,7.85143,0.22222,0.00000,0.08696,3.00603,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,162.5
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|up,20260709,0.10951,0.08297,9.12154,0.44444,0.31012,0.00000,2.88134,10.27647,1.24434,0.04758,0.01300,4155,9,22,True,160.2
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|down,20260705,0.12007,0.11780,7.93688,0.23077,0.06327,0.16667,3.08536,10.81714,0.92784,0.04130,0.01837,4246,13,18,True,159.4
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|down,20260706,0.11785,0.11342,9.56624,0.38462,0.51000,0.05000,3.03275,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,159.4
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|down,20260707,0.12148,0.08635,8.09933,0.50000,0.92184,0.13043,3.13202,11.42353,1.62272,0.04139,0.01392,4309,10,23,True,159.7
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|down,20260708,0.11805,0.10458,7.85143,0.22222,0.00000,0.08696,3.00614,11.43195,1.87008,0.04017,0.01222,4254,9,23,True,159.3
VEHICLE_APPROACH_SALIENCE_GATE_SIDEWALK|down,20260709,0.10954,0.05356,8.37298,0.36364,0.38258,0.00000,2.91957,9.71910,1.59091,0.04352,0.01570,4204,11,22,True,159.7
LOOMING_BOOST_PEAK|up,20260705,0.11986,0.10708,7.58950,0.23077,0.06327,0.22222,3.06678,11.05780,2.13592,0.03764,0.01862,4190,13,18,True,161.6
LOOMING_BOOST_PEAK|up,20260706,0.11784,0.11342,9.56624,0.38462,0.51000,0.05000,3.03310,10.58101,1.21581,0.04974,0.01829,4265,13,20,True,162.9
LOOMING_BOOST_PEAK|up,20260707,0.11431,0.07930,7.56524,0.40000,1.02985,0.17391,3.00045,10.69006,1.64779,0.03840,0.01436,4177,10,23,True,159.8
LOOMING_BOOST_PEAK|up,20260708,0.11490,0.09963,7.85143,0.12500,0.00000,0.04762,2.93670,10.92000,1.99800,0.04028,0.01081,4254,8,21,True,162.9
LOOMING_BOOST_PEAK|up,20260709,0.10954,0.05356,8.37298,0.36364,0.38258,0.00000,2.91977,9.71910,1.59091,0.04352,0.01570,4204,11,22,True,161.5
LOOMING_BOOST_PEAK|down,20260705,0.11994,0.10708,7.56563,0.23077,0.06327,0.22222,3.06831,11.05780,2.13592,0.03749,0.01862,4190,13,18,True,160.4
